id,artist,title,album,year,duration_s,format,path
mSMTp8abR3CnmjATwCQbEW,Lady Gaga,Alejandro,Lady Gaga,,274,mp3,Lady Gaga/Lady Gaga/Alejandro.mp3
mzDyKzSq3v792YqTx0y0bO,Lady Gaga,Applause,Lady Gaga,,212,mp3,Lady Gaga/Lady Gaga/Applause.mp3
e0OoWrbAdyToOEmXCOEpeu,Lady Gaga,Babylon,Lady Gaga,,161,mp3,Lady Gaga/Lady Gaga/Babylon.mp3
QEIkDT9A3JLHNrt0NLBqzR,Lady Gaga,Bad Romance,Lady Gaga,,294,mp3,Lady Gaga/Lady Gaga/Bad Romance.mp3
DKXIFNSx25LpqVYmpx1aEC,Lady Gaga,Bloody Mary,Lady Gaga,,244,mp3,Lady Gaga/Lady Gaga/Bloody Mary.mp3
BH0IKt8K8cb9OTbltlmgqM,Lady Gaga,G.U.Y.,Lady Gaga,,232,mp3,Lady Gaga/Lady Gaga/G.U.Y..mp3
Ta16ME0xIk168rxT9Un3q8,Lady Gaga,Judas,Lady Gaga,,249,mp3,Lady Gaga/Lady Gaga/Judas.mp3
ClExTYzkicjg7pRJyjeJCL,Lady Gaga,LoveGame,Lady Gaga,,216,mp3,Lady Gaga/Lady Gaga/LoveGame.mp3
NctSV7VFXFjgIH1l8kSV1r,Lady Gaga,Paparazzi,Lady Gaga,,208,mp3,Lady Gaga/Lady Gaga/Paparazzi.mp3
sSAHHJiNY3YsIToc0sKltN,Lady Gaga,Poker Face,Lady Gaga,,237,mp3,Lady Gaga/Lady Gaga/Poker Face.mp3
LEv2O8ztQFRHWvGWnjJdKW,Lady Gaga,Stupid Love,Lady Gaga,,193,mp3,Lady Gaga/Lady Gaga/Stupid Love.mp3
c80qWlU7boj7qsdy15yOdT,Lady Gaga,The Edge Of Glory,Lady Gaga,,320,mp3,Lady Gaga/Lady Gaga/The Edge Of Glory.mp3
BVhBtUSkLrBQspT5AzC5Nl,Lady Gaga,Venus,Lady Gaga,,233,mp3,Lady Gaga/Lady Gaga/Venus.mp3
gisl2VfEW7RTon8QNgLCgQ,Lady Gaga feat. Colby O'Donis,Just Dance,Lady Gaga feat. Colby O'Donis,,242,mp3,Lady Gaga/Lady Gaga feat. Colby O'Donis/Just Dance.mp3
1iscUKcl2x52u6NAgDIKbC,Laibach,Tanz Mit Laibach,Laibach,,258,mp3,Laibach/Laibach/Tanz Mit Laibach.mp3
XSqQJBWb7S6M4q3AIJOzwB,Laskovy May,Лето,Laskovy May,2022,206,mp3,Laskovy May/Laskovy May/Лето.mp3
M6gZlpi8uSYH4G3h0G4niS,Last Scream,Полулюди,Last Scream,,220,mp3,Last Scream/Last Scream/Полулюди.mp3
rt5TmhzMyHICP66Ed1OgYt,Laura Branigan,Self Control,Laura Branigan,,247,mp3,Laura Branigan/Laura Branigan/Self Control.mp3
cak4MbOBEYJYiCn72gI3pF,Le Castle Vania,Freak,Le Castle Vania,,171,mp3,Le Castle Vania/Le Castle Vania/Freak.mp3
8ocltV01Np4XBpzgDEebYT,Le Castle Vania,Shots Fired,Le Castle Vania,,191,mp3,Le Castle Vania/Le Castle Vania/Shots Fired.mp3
C0ad2C3jmfFAmGIETFiz7r,Led Zeppelin,Immigrant Song,Led Zeppelin,,146,mp3,Led Zeppelin/Led Zeppelin/Immigrant Song.mp3
apD1q2mMmqQYdhcpqLT2TJ,Lian Ross,Say You'll Never,Lian Ross,,227,mp3,Lian Ross/Lian Ross/Say You'll Never.mp3
njQl7BSrrsDThQdfF93S5j,Lil Jon,Get Low,Lil Jon,,263,mp3,Lil Jon/Lil Jon/Get Low.mp3
H221ljEeNmGWmC5U7vigHK,"Lil Jon, DJ Snake",Turn Down for What,"Lil Jon, DJ Snake",,213,mp3,"Lil Jon, DJ Snake/Lil Jon, DJ Snake/Turn Down for What.mp3"
XVZ9ZIA3gz70PO2pgNiog4,Limp Bizkit,Rollin' (Air Raid Vehicle),Limp Bizkit,,214,mp3,Limp Bizkit/Limp Bizkit/Rollin' (Air Raid Vehicle).mp3
bpTC343RqW33dPjg7E2Tvo,Limp Bizkit,Take A Look Around (Миссия невыполнима),Limp Bizkit,,320,mp3,Limp Bizkit/Limp Bizkit/Take A Look Around (Миссия невыполнима).mp3
GskNDqabBqJ7qGoDFPAKSx,Lindemann,Children of the Sun,Lindemann,,220,mp3,Lindemann/Lindemann/Children of the Sun.mp3
WPTeaSOsCwZncQXpIpy1bh,Linkin Park,A Place for My Head,Linkin Park,,184,mp3,Linkin Park/Linkin Park/A Place for My Head.mp3
claVarfvPgUt33OdAZMnfN,Linkin Park,Faint,Linkin Park,,164,mp3,Linkin Park/Linkin Park/Faint.mp3
BiiuTWcLzhu1XfIiQhOKiU,Linkin Park,Given Up,Linkin Park,,189,mp3,Linkin Park/Linkin Park/Given Up.mp3
HDPI7IU8FUwro8asceKoDU,Linkin Park,In the End,Linkin Park,,219,mp3,Linkin Park/Linkin Park/In the End.mp3
C4FJlPsZ45zKz6SZNHDWnm,Linkin Park,New Divide,Linkin Park,,268,mp3,Linkin Park/Linkin Park/New Divide.mp3
D4v2PTZhi32OuWQykSaHUK,Linkin Park,Numb,Linkin Park,,186,mp3,Linkin Park/Linkin Park/Numb.mp3
K9KxhyHqP71Q8Sa95008IP,Linkin Park,Somewhere I Belong,Linkin Park,,212,mp3,Linkin Park/Linkin Park/Somewhere I Belong.mp3
M8NHBftYpG3WMLlS6dggiF,Linkin Park,What I've Done,Linkin Park,,205,mp3,Linkin Park/Linkin Park/What I've Done.mp3
6wMzWEYVv3pQFpsuAQcmg7,Lipps Inc.,Funky Town(Nostalgie),Lipps Inc.,,233,mp3,Lipps Inc./Lipps Inc./Funky Town(Nostalgie).mp3
DE5uprtggnUYbBLffXtMjs,Little Big feat. DenDerty,Rave On,Little Big feat. DenDerty,,204,mp3,Little Big/Little Big feat. DenDerty/Rave On.mp3
cyA853UDNwCBzcr2D3ip1Z,Little Man Big,Better Be Your Life,Little Man Big,,364,mp3,Little Man Big/Little Man Big/Better Be Your Life.mp3
LF3u9emIV7IV0aLaKo3b4W,"LMFAO feat. Lauren Bennett, GoonRock",Party Rock Anthem,"LMFAO feat. Lauren Bennett, GoonRock",,263,mp3,"LMFAO/LMFAO feat. Lauren Bennett, GoonRock/Party Rock Anthem.mp3"
alC3j7oz9y2EjO8cnITxZW,Lofi Chill Hip Hop Beat,Transformation,Lofi Chill Hip Hop Beat,,229,mp3,Lofi Chill Hip Hop Beat/Lofi Chill Hip Hop Beat/37 - Transformation.mp3
tcBtl59LJeA6EmoCJnBfeA,Los Del Rio,Macarena,Los Del Rio,,252,mp3,Los Del Rio/Los Del Rio/Macarena.mp3
f9eDYj099G6qeGqdadcsa1,LOSTMANE,DAWN,LOSTMANE,,154,mp3,LOSTMANE/LOSTMANE/DAWN.mp3
yZfLsUcxiA0JEX9Ss1mPoV,LOSTMANE,Outrun,LOSTMANE,,158,mp3,LOSTMANE/LOSTMANE/Outrun.mp3
UX453JaqPbHca5WnyZtMa9,LOSTMANE,Radiance,LOSTMANE,,142,mp3,LOSTMANE/LOSTMANE/Radiance.mp3
my8OdAA92RhX7IBt3YNzZH,Lou Bega,Mambo No. 5 (A Little Bit Of),Lou Bega,1999,221,flac,Lou Bega/Lou Bega/01-01 - Mambo No. 5 (A Little Bit Of).flac
m5C23mtScKWR72BA0876W1,Loverboy,Queen Of The Broken Hearts,We Are The '80s,2003,230,mp3,Loverboy/We Are The '80s/Queen Of The Broken Hearts.mp3
t8LT5sOBnpFX2tqR44IbDN,Lumi Athena,ICEWHORE! - slowed,ICEWHORE!,2023,123,mp3,Lumi Athena/ICEWHORE!/03 - ICEWHORE! - slowed.mp3
JlR7JJcC5YYenVKUTgb0Z4,Lumi Athena,ICEWHORE! super slowed,Lumi Athena,,125,mp3,Lumi Athena/Lumi Athena/ICEWHORE! super slowed.mp3
ql3BiWxtiT5crcgKATZM7n,Lumidelic,Enlightenment,Lumidelic,,272,mp3,Lumidelic/Lumidelic/Enlightenment.mp3
pKRVI9N3a8sQZzzzhWiQh7,Lustmord,Black Star,Lustmord,,102,mp3,Lustmord/Lustmord/Black Star.mp3
